Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
hsv2rgb,14.493048,14.493048,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,hsv2rgb,[Unknown],0x2e190
ImagingBlend,13.939881,13.939881,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingBlend,[Unknown],0x239f0
rgb2hsv_row,10.056985,10.056985,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,rgb2hsv_row,[Unknown],0x2e470
__round,4.466820,4.466820,0.0,0.0,libm.so.6,__round,s_round.c,0x38dd0
__ieee754_fmod,2.726871,2.726871,0.0,0.0,libm.so.6,__ieee754_fmod,e_fmod.c,0x29120
l2rgb,1.955951,1.955951,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,l2rgb,[Unknown],0x2f960
__fmod,1.832025,1.832025,0.0,0.0,libm.so.6,__fmod,w_fmod_compat.c,0xfed0
ImagingSplit,1.299995,1.299995,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingSplit,[Unknown],0x21170
ImagingGetHistogram,1.131972,1.131972,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingGetHistogram,[Unknown],0x44410
rgb2l,0.945992,0.945992,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,rgb2l,[Unknown],0x27d50
ImagingMerge,0.599983,0.599983,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingMerge,[Unknown],0x217a0
__memset_avx2_erms,0.480962,0.480962,0.0,0.0,libc.so.6,__memset_avx2_erms,memset-vec-unaligned-erms.S,0x18bd60
rgb2hsv,0.404021,0.404021,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,rgb2hsv,[Unknown],0x2e6f0
__memmove_avx_unaligned_erms,0.320001,0.320001,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
UBYTE_add_AVX2,0.068004,0.068004,0.0,0.0,_multiarray_umath.cpython-310-x86_64-linux-gnu.so,UBYTE_add_AVX2,[Unknown],0x3154a0
_int_free,0.018039,0.018039,0.0,0.0,libc.so.6,_int_free,malloc.c,0x96840
ImagingFill,0.012001,0.012001,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingFill,[Unknown],0x37a70
_PyFunction_Vectorcall,0.012000,0.012000,0.0,0.0,python3.10,_PyFunction_Vectorcall,call.c,0x43072b
convert,0.007998,0.007998,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,convert,[Unknown],0x2e800
